route_id,agency_id,route_short_name,route_long_name
B902,ATM,B902,Peschiera Borromeo - San Donato M3
B903,ATM,B903,San Donato M3 - Aeroporto Linate M4
B903,ATM,B903,Aeroporto Linate M4 - San Donato M3
B923s,ATM,B923s,Segrate Via Di Vittorio - Segrate Istituti Scolastici
B923s,ATM,B923s,Segrate Istituti Scolastici - Segrate Via Di Vittorio
B923,ATM,B923,H.S.Raffaele - Aeroporto Linate
B923,ATM,B923,Aeroporto Linate - H S.Raffaele
B924,ATM,B924,Lambrate FS M2 - Segrate
B924,ATM,B924,Segrate - Lambrate FS M2
B925,ATM,B925,C.na Gobba M2 - Milano Due
B925,ATM,B925,Milano Due - C.na Gobba M2
B926,ATM,B926,Peschiera B. (San Felicino) - Segrate FS
B926,ATM,B926,Segrate FS - Peschiera B. (San Felicino)
B965,ATM,B965,Pioltello - Milano
B965,ATM,B965,Milano - Pioltello
B973,ATM,B973,Peschiera Borromeo (San Felicino) - Milano (P.za Cinque Giornate)
B973,ATM,B973,Milano (P.za Cinque Giornate) - Peschiera Borromeo (San Felicino)
BZ301,ATM,BZ301,Milano - Bergamo
BZ301,ATM,BZ301,Bergamo - Milano
BZ304,ATM,BZ304,Cologno Nord M2 - Brugherio (Circolare unica)
BZ305,ATM,BZ305,Cologno Nord M2 - Cernusco s.N. (Villa Fiorita M2)
BZ305,ATM,BZ305,Cernusco s.N. (Villa Fiorita M2) - Cologno Nord M2
BZ307,ATM,BZ307,Vimercate - Cologno Nord M2
BZ307,ATM,BZ307,Cologno Nord M2 - Vimercate
BZ309,ATM,BZ309,Cassano d' Adda FS - Trezzo sull' Adda
BZ309,ATM,BZ309,Trezzo sull' Adda - Cassano d' Adda FS
BZ310,ATM,BZ310,Gessate M2 - Trezzo sull' Adda
BZ310,ATM,BZ310,Trezzo sull' Adda - Gessate M2
BZ311,ATM,BZ311,Gessate M2 - Vaprio
BZ311,ATM,BZ311,Vaprio - Gessate M2
BZ312,ATM,BZ312,Gessate M2 - Vimercate autostazione
BZ312,ATM,BZ312,Vimercate autostazione - Gessate M2
BZ313,ATM,BZ313,Gessate M2 - Paderno d' Adda
BZ313,ATM,BZ313,Paderno d' Adda - Gessate M2
BZ314,ATM,BZ314,Gessate M2 - Monza FS
BZ314,ATM,BZ314,Monza FS - Gessate M2
BZ315,ATM,BZ315,Gorgonzola M2 - Vimercate
BZ315,ATM,BZ315,Vimercate - Gorgonzola M2
BZ317,ATM,BZ317,Correzzana - Vimercate
BZ317,ATM,BZ317,Vimercate - Correzzana
BZ318,ATM,BZ318,Vimercate - Usmate
BZ318,ATM,BZ318,Usmate - Vimercate
BZ319,ATM,BZ319,Ronco Briantino - Vimercate - Arcore FS
BZ319,ATM,BZ319,Arcore FS - Vimercate - Ronco Briantino
BZ321,ATM,BZ321,Monza FS - Trezzo d'Adda con dir. Porto d' Adda e Mezzago
BZ321,ATM,BZ321,Trezzo d'Adda con dir. Porto d' Adda e Mezzago - Monza FS
BZ322,ATM,BZ322,Cologno Nord M2 - Trezzo d'Adda con dir. Cornate (Porto d'Adda)
BZ322,ATM,BZ322,Trezzo d'Adda con dir. Cornate (Porto d'Adda) - Cologno Nord M2
BZ323,ATM,BZ323,Cologno Nord M2 - Vimercate
BZ323,ATM,BZ323,Vimercate - Cologno Nord M2
BZ201,ATM,BZ201,S.Alessandro - S.Albino
BZ201,ATM,BZ201,S.Albino - S.Alessandro
BZ202,ATM,BZ202,D'Annunzio - Libertà (Cimitero)
BZ202,ATM,BZ202,Libertà (Cimitero) - D'Annunzio
BZ204,ATM,BZ204,Taccona di Muggiò - Vedano
BZ204,ATM,BZ204,Vedano - Taccona di Muggiò
BZ206,ATM,BZ206,Monza (Osp. S. Gerardo) - Monza (Della Robbia)
BZ206,ATM,BZ206,Monza (Della Robbia) - Monza (Osp. S. Gerardo)
BZ208,ATM,BZ208,S.Fruttuoso - Arcore FS
BZ208,ATM,BZ208,Arcore FS - S.Fruttuoso
BZ211,ATM,BZ211,CIRCOLARE A - Monza (Carducci) - Monza (Carducci)
BZ211,ATM,BZ211,CIRCOLARE A - Monza (Carducci) - Monza (Carducci)
BZ212,ATM,BZ212,CIRCOLARE B - Monza (Carducci) - Monza (Carducci)
BZ212,ATM,BZ212,CIRCOLARE B - Monza (Carducci) - Monza (Carducci)
Q34,ATM,Q34,Fatima - Noverasco
Q35,ATM,Q35,Affori - Senigallia
Q39,ATM,Q39,Lambrate - Rubattino
Q44,ATM,Q44,Gorla - Ponte Nuovo
Q45,ATM,Q45,Forlanini - Ponte Lambro
Q46,ATM,Q46,Cantalupa - Palach
Q52,ATM,Q52,Bruzzano - Niguarda
Q55,ATM,Q55,Casoretto - Feltre
Q68,ATM,Q68,Bonola - Gallaratese
Q75,ATM,Q75,Udine - Rizzoli
Q76,ATM,Q76,Quinto Romano - Val D'Intelvi
Q78,ATM,Q78,Portello - San Siro
Q79,ATM,Q79,Chiesa Rossa - Gratosoglio
Q86,ATM,Q86,Adriano - Precotto
Q88,ATM,Q88,Santa Giulia - Rogoredo
